date,quantity_sold,product_name,day_of_week,month,is_weekend,season,lag_7,lag_14,rolling_mean_7
2026-04-23,5,BBQ Chicken,3,4,0,1,7.0,1.0,5.0
2026-04-24,7,BBQ Chicken,4,4,0,1,6.0,5.0,4.714285714285714
2026-04-25,17,BBQ Chicken,5,4,1,1,3.0,10.0,4.857142857142857
2026-04-26,13,BBQ Chicken,6,4,1,1,5.0,11.0,6.857142857142857
2026-04-27,6,BBQ Chicken,0,4,0,1,8.0,5.0,8.0
2026-04-28,4,BBQ Chicken,1,4,0,1,1.0,3.0,7.714285714285714
2026-04-29,8,BBQ Chicken,2,4,0,1,5.0,3.0,8.142857142857142
2026-04-30,7,BBQ Chicken,3,4,0,1,5.0,7.0,8.571428571428571
2026-05-01,15,BBQ Chicken,4,5,0,1,7.0,6.0,8.857142857142858
2026-05-02,6,BBQ Chicken,5,5,1,1,17.0,3.0,10.0
2026-05-03,7,BBQ Chicken,6,5,1,1,13.0,5.0,8.428571428571429
2026-05-04,4,BBQ Chicken,0,5,0,1,6.0,8.0,7.571428571428571
2026-05-05,3,BBQ Chicken,1,5,0,1,4.0,1.0,7.285714285714286
2026-05-06,0,BBQ Chicken,2,5,0,1,8.0,5.0,7.142857142857143
2026-05-07,4,BBQ Chicken,3,5,0,1,7.0,5.0,6.0
2026-05-08,6,BBQ Chicken,4,5,0,1,15.0,7.0,5.571428571428571
2026-05-09,9,BBQ Chicken,5,5,1,1,6.0,17.0,4.285714285714286
2026-05-10,6,BBQ Chicken,6,5,1,1,7.0,13.0,4.714285714285714
2026-05-11,1,BBQ Chicken,0,5,0,1,4.0,6.0,4.571428571428571
2026-05-12,1,BBQ Chicken,1,5,0,1,3.0,4.0,4.142857142857143
2026-05-13,1,BBQ Chicken,2,5,0,1,0.0,8.0,3.857142857142857
2026-05-14,6,BBQ Chicken,3,5,0,1,4.0,7.0,4.0
2026-05-15,6,BBQ Chicken,4,5,0,1,6.0,15.0,4.285714285714286
2026-05-16,13,BBQ Chicken,5,5,1,1,9.0,6.0,4.285714285714286
2026-05-17,6,BBQ Chicken,6,5,1,1,6.0,7.0,4.857142857142857
2026-05-18,3,BBQ Chicken,0,5,0,1,1.0,4.0,4.857142857142857
2026-05-19,5,BBQ Chicken,1,5,0,1,1.0,3.0,5.142857142857143
2026-05-20,3,BBQ Chicken,2,5,0,1,1.0,0.0,5.714285714285714
2026-05-21,4,BBQ Chicken,3,5,0,1,6.0,4.0,6.0
2026-05-22,8,BBQ Chicken,4,5,0,1,6.0,6.0,5.714285714285714
2026-05-23,13,BBQ Chicken,5,5,1,1,13.0,9.0,6.0
2026-05-24,8,BBQ Chicken,6,5,1,1,6.0,6.0,6.0
2026-05-25,3,BBQ Chicken,0,5,0,1,3.0,1.0,6.285714285714286
2026-05-26,8,BBQ Chicken,1,5,0,1,5.0,1.0,6.285714285714286
2026-05-27,6,BBQ Chicken,2,5,0,1,3.0,1.0,6.714285714285714
2026-05-28,7,BBQ Chicken,3,5,0,1,4.0,6.0,7.142857142857143
2026-05-29,3,BBQ Chicken,4,5,0,1,8.0,6.0,7.571428571428571
2026-05-30,4,BBQ Chicken,5,5,1,1,13.0,13.0,6.857142857142857
2026-05-31,6,BBQ Chicken,6,5,1,1,8.0,6.0,5.571428571428571
2026-06-01,1,BBQ Chicken,0,6,0,2,3.0,3.0,5.285714285714286
2026-06-02,2,BBQ Chicken,1,6,0,2,8.0,5.0,5.0
2026-06-03,2,BBQ Chicken,2,6,0,2,6.0,3.0,4.142857142857143
2026-06-04,5,BBQ Chicken,3,6,0,2,7.0,4.0,3.5714285714285716
2026-06-05,3,BBQ Chicken,4,6,0,2,3.0,8.0,3.2857142857142856
2026-06-06,9,BBQ Chicken,5,6,1,2,4.0,13.0,3.2857142857142856
2026-06-07,4,BBQ Chicken,6,6,1,2,6.0,8.0,4.0
2026-06-08,3,BBQ Chicken,0,6,0,2,1.0,3.0,3.7142857142857144
2026-06-09,2,BBQ Chicken,1,6,0,2,2.0,8.0,4.0
2026-06-10,6,BBQ Chicken,2,6,0,2,2.0,6.0,4.0
2026-06-11,10,BBQ Chicken,3,6,0,2,5.0,7.0,4.571428571428571
2026-06-12,8,BBQ Chicken,4,6,0,2,3.0,3.0,5.285714285714286
2026-06-13,6,BBQ Chicken,5,6,1,2,9.0,4.0,6.0
2026-06-14,7,BBQ Chicken,6,6,1,2,4.0,6.0,5.571428571428571
2026-06-15,3,BBQ Chicken,0,6,0,2,3.0,1.0,6.0
2026-06-16,3,BBQ Chicken,1,6,0,2,2.0,2.0,6.0
2026-06-17,4,BBQ Chicken,2,6,0,2,6.0,2.0,6.142857142857143
2026-06-18,3,BBQ Chicken,3,6,0,2,10.0,5.0,5.857142857142857
2026-06-19,4,BBQ Chicken,4,6,0,2,8.0,3.0,4.857142857142857
2026-06-20,9,BBQ Chicken,5,6,1,2,6.0,9.0,4.285714285714286
2026-06-21,14,BBQ Chicken,6,6,1,2,7.0,4.0,4.714285714285714
2026-06-22,2,BBQ Chicken,0,6,0,2,3.0,3.0,5.714285714285714
2026-06-23,3,BBQ Chicken,1,6,0,2,3.0,2.0,5.571428571428571
2026-06-24,6,BBQ Chicken,2,6,0,2,4.0,6.0,5.571428571428571
2026-06-25,3,BBQ Chicken,3,6,0,2,3.0,10.0,5.857142857142857
2026-06-26,8,BBQ Chicken,4,6,0,2,4.0,8.0,5.857142857142857
2026-06-27,9,BBQ Chicken,5,6,1,2,9.0,6.0,6.428571428571429
2026-06-28,5,BBQ Chicken,6,6,1,2,14.0,7.0,6.428571428571429
2026-06-29,4,BBQ Chicken,0,6,0,2,2.0,3.0,5.142857142857143
2026-06-30,7,BBQ Chicken,1,6,0,2,3.0,3.0,5.428571428571429
2026-07-01,3,BBQ Chicken,2,7,0,2,6.0,4.0,6.0
2026-07-02,10,BBQ Chicken,3,7,0,2,3.0,3.0,5.571428571428571
2026-07-03,5,BBQ Chicken,4,7,0,2,8.0,4.0,6.571428571428571
2026-07-04,15,BBQ Chicken,5,7,1,2,9.0,9.0,6.142857142857143
2026-07-05,4,BBQ Chicken,6,7,1,2,5.0,14.0,7.0
2026-07-06,4,BBQ Chicken,0,7,0,2,4.0,2.0,6.857142857142857
2026-07-07,1,BBQ Chicken,1,7,0,2,7.0,3.0,6.857142857142857
2026-07-08,3,BBQ Chicken,2,7,0,2,3.0,6.0,6.0
2026-04-23,2,Bottled Water,3,4,0,1,1.0,1.0,2.142857142857143
2026-04-24,3,Bottled Water,4,4,0,1,2.0,1.0,2.2857142857142856
2026-04-25,0,Bottled Water,5,4,1,1,6.0,1.0,2.4285714285714284
2026-04-26,3,Bottled Water,6,4,1,1,2.0,3.0,1.5714285714285714
2026-04-27,1,Bottled Water,0,4,0,1,1.0,1.0,1.7142857142857142
2026-04-28,0,Bottled Water,1,4,0,1,0.0,4.0,1.7142857142857142
2026-04-29,1,Bottled Water,2,4,0,1,3.0,3.0,1.7142857142857142
